,tsne-one,tsne-two,tsne-three,gs_text34
0,-10.756626,0.969435,-0.30891842,Diseases of Respiratory System
1,-10.75664,0.96920156,-0.3083789,Diseases of Respiratory System
2,-10.758349,0.96888995,-0.30848345,"Pregnancy, childbirth and the puerperiu"
3,-10.75836,0.968527,-0.30830735,External Causes of Morbidity and Mortality
4,-10.760778,0.96797705,-0.31001562,"Injury, Poisoning and External Causes"
5,-10.756071,0.9672228,-0.30940944,"Pregnancy, childbirth and the puerperiu"
6,-10.755915,0.96634275,-0.31046748,Neoplasms
7,-10.751372,0.9650428,-0.31018102,Diseases of the circulatory system
8,-10.7547,0.96343464,-0.3095404,Other Non-communicable Diseases
9,-10.756017,0.9613982,-0.3100565,Other Infectious Diseases
10,-10.751717,0.9585269,-0.30945867,Certain infectious and Parasitic Diseases
11,-10.751155,0.9550731,-0.30973572,Diseases of Respiratory System
12,-10.751391,0.9508809,-0.31050912,Certain infectious and Parasitic Diseases
13,-10.746179,0.94604313,-0.3145264,Certain infectious and Parasitic Diseases
14,-10.745719,0.9403941,-0.31242853,Diseases of the circulatory system
15,-10.743492,0.93392724,-0.3146458,External Causes of Morbidity and Mortality
16,-10.740228,0.9265058,-0.31935668,Neoplasms
17,-10.735785,0.9181674,-0.31772542,"Pregnancy, childbirth and the puerperiu"
18,-10.729874,0.90883553,-0.31708056,"Pregnancy, childbirth and the puerperiu"
19,-10.726813,0.8984876,-0.32116607,"Pregnancy, childbirth and the puerperiu"
20,-10.72501,0.8870784,-0.3226698,Diseases of Respiratory System
21,-10.719441,0.8747041,-0.32477498,Other Cardiovascular Diseases
22,-10.711389,0.861369,-0.32920006,Congenital malformation
23,-10.706414,0.8471937,-0.32882968,Diseases of Respiratory System
24,-10.699949,0.8321409,-0.3330544,Certain infectious and Parasitic Diseases
25,-10.696351,0.81634295,-0.33787203,"Injury, Poisoning and External Causes"
26,-10.692418,0.7999103,-0.33918044,Certain infectious and Parasitic Diseases
27,-10.688361,0.7827684,-0.33847257,External Causes of Morbidity and Mortality
28,-10.67291,0.7650357,-0.34462142,Diseases of the Digestive System
29,-10.665514,0.74676734,-0.34811968,Diseases of Respiratory System
30,-10.6621275,0.7279375,-0.35035026,Other Infectious Diseases
31,-10.650158,0.7086341,-0.35433164,External Causes of Morbidity and Mortality
32,-10.644128,0.6893471,-0.35659903,Diseases of the circulatory system
33,-10.63499,0.6685664,-0.36126515,Diseases of Respiratory System
34,-10.625879,0.6480214,-0.36347386,Certain infectious and Parasitic Diseases
35,-10.61811,0.627167,-0.3663075,External Causes of Morbidity and Mortality
36,-10.609587,0.6057985,-0.36906692,Certain infectious and Parasitic Diseases
37,-10.602233,0.5838028,-0.37310067,Neoplasms
38,-10.589902,0.5617255,-0.376612,"Pregnancy, childbirth and the puerperiu"
39,-10.583115,0.53942513,-0.38081446,Diseases of Respiratory System
40,-10.573443,0.5168173,-0.38186073,"Pregnancy, childbirth and the puerperiu"
41,-10.564594,0.49392763,-0.3844404,Other Infectious Diseases
42,-10.553368,0.47069633,-0.388188,External Causes of Morbidity and Mortality
43,-10.544472,0.44724408,-0.39223784,Diseases of the Genitourinary System
44,-10.5346575,0.4237357,-0.3970453,External Causes of Morbidity and Mortality
45,-10.524345,0.39982334,-0.3983745,Neoplasms
46,-10.516114,0.3761352,-0.3998917,External Causes of Morbidity and Mortality
47,-10.506958,0.3517996,-0.40274474,Diseases of the circulatory system
48,-10.478007,0.32688963,-0.40523592,"Endocrine, Nutritional and Metabolic Diseases"
49,-10.4857235,0.3032876,-0.40835977,Birth asphyxia
50,-10.470069,0.27867737,-0.41085067,External Causes of Morbidity and Mortality
51,-10.4596815,0.25450498,-0.41294032,External Causes of Morbidity and Mortality
52,-10.447832,0.23008236,-0.41630644,Diseases of the circulatory system
53,-10.435324,0.20489134,-0.41783398,Diseases of the circulatory system
54,-10.427193,0.18045829,-0.41988656,"Pregnancy, childbirth and the puerperiu"
55,-10.412385,0.15554716,-0.4216989,Diseases of the circulatory system
56,-10.403154,0.131195,-0.42357227,"Pregnancy, childbirth and the puerperiu"
57,-10.39215,0.10617729,-0.42486238,Diseases of the circulatory system
58,-10.384853,0.08184809,-0.42550918,External Causes of Morbidity and Mortality
59,-10.363055,0.056710076,-0.4273222,External Causes of Morbidity and Mortality
60,-10.355424,0.032068457,-0.42827913,"Pregnancy, childbirth and the puerperiu"
61,-10.344002,0.007527721,-0.42918593,Certain infectious and Parasitic Diseases
62,-10.332782,-0.018067308,-0.4296554,External Causes of Morbidity and Mortality
63,-10.317347,-0.04185362,-0.43031466,Diseases of Respiratory System
64,-10.309506,-0.0662792,-0.43007618,"Pregnancy, childbirth and the puerperiu"
65,-10.296965,-0.0911477,-0.4298584,Congenital malformation
66,-10.279716,-0.11569944,-0.4298073,"Pregnancy, childbirth and the puerperiu"
67,-10.269759,-0.1399881,-0.42861316,External Causes of Morbidity and Mortality
68,-10.254507,-0.1642758,-0.42862082,Diseases of the Genitourinary System
69,-10.245957,-0.1889608,-0.42780688,"Injury, Poisoning and External Causes"
70,-10.231214,-0.21289511,-0.4263643,Other Non-communicable Diseases
71,-10.214033,-0.23680142,-0.42476773,Diseases of Respiratory System
72,-10.2016325,-0.26106408,-0.42332828,Certain infectious and Parasitic Diseases
73,-10.186769,-0.2850499,-0.4212147,Other Infectious Diseases
